title,publisher,rating_from_5,rating_count,finalPrice,originalPrice,discountInfo,offer,discountDescriptor,release,genre,product_tag,noticesListItem3,discribtionTag,ratingProgresBar,subtitles,voices
Fortnite,Epic Games,4.32,7447202 ratings,Free,,,,,7/21/2017,,"['PS5', 'Fortnite', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '99 online players', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '99 online players', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Diverse Content: Discretion AdvisedIn-Game Purchases, Users Interact']","['71%', '10%', '8%', '1%', '10%']","['Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish']",[]
NBA 2K25 Standard Edition,2K,3.17,24029 ratings,$20.99,$69.99,Save 70%,Save 70%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,9/4/2024,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro EnhancedView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro EnhancedView All']","['In-Game Purchases (Includes Random Items), Users Interact']","['42%', '10%', '8%', '5%', '35%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish']",[]
MLB® The Show™ 25,Sony Interactive Entertainment,3.78,1457 ratings,$69.99,,,,,3/18/2025,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'Game Help supportedView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'Game Help supportedView All']","['No DescriptorsIn-Game Purchases (Includes Random Items), Users Interact']","['57%', '12%', '6%', '4%', '22%']",['English'],[]
Assassin’s Creed Shadows,Ubisoft Entertainment,4.64,15124 ratings,$69.99,,,,,3/20/2025,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'In-game purchases optional', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood and Gore, Intense Violence, LanguageIn-Game Purchases, Users Interact']","['84%', '7%', '2%', '2%', '5%']","['English, French (France), Japanese, Portuguese (Brazil), Spanish']",[]
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,Activision,3.96,530449 ratings,$48.99,$69.99,Save 30%,Save 30%Offer ends 4/2/2025 03:59 PM UTC,Offer ends 4/2/2025 03:59 PM UTC,10/25/2024,,"['PS4', 'PS5', 'BO6 Cross-Gen', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 40 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 40 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of DrugsIn-Game Purchases, Users Interact']","['59%', '11%', '12%', '2%', '16%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
EA SPORTS FC™ 25 Standard Edition PS4 & PS5,Electronic Arts Inc,3.37,124738 ratings,$69.99,,,Subscribe to EA Play to get a 10-hour game trial,,9/20/2024,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 22 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 22 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced']","['In-Game Purchases (Includes Random Items), Users Interact']","['47%', '9%', '9%', '4%', '31%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)', 'English, French (France), Portuguese (Brazil), Spanish (Mexico)']","['Arabic, Chinese, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)', 'English, French (France)']"
Marvel Rivals,UK Netease Interactive Entertainment Limited,4.37,97342 ratings,Free,,,,,12/6/2024,,"['PS5', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '12 online players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '12 online players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['76%', '8%', '4%', '2%', '11%']","['Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish']",[]
Roblox,ROBLOX Corporation,4.09,651638 ratings,Free,,,,,10/10/2023,,['PS4'],"['In-game purchases optional', 'Online play required', '99 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS4 VersionPS Camera optional', 'PS4 Pro Enhanced', 'DUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices', 'In-game purchases optional', 'Online play required', '99 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS4 VersionPS Camera optional', 'PS4 Pro Enhanced', 'DUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices']","['Diverse Content: Discretion AdvisedIn-Game Purchases (Includes Random Items), Users Interact']","['65%', '9%', '10%', '2%', '14%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish']",[]
EA SPORTS™ College Football 25,Electronic Arts Inc,3.87,23022 ratings,$69.99,,,Included with EA Play,,7/15/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS5', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced']","['No DescriptorsIn-Game Purchases (Includes Random Items), Users Interact']","['59%', '12%', '6%', '4%', '20%']",['English'],[]
EA SPORTS™ Madden NFL 25,Electronic Arts Inc,3.36,13674 ratings,$69.99,,,Included with EA Play,,8/16/2024,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced']","['Mild LyricsIn-Game Purchases (Includes Random Items), Users Interact']","['47%', '10%', '8%', '5%', '31%']",['English'],[]
Grand Theft Auto Online (PlayStation®5),Rockstar Games,4.49,803571 ratings,$19.99,,,Save 50%Offer ends 4/10/2025 06:59 AM UTC,,3/15/2022,,"['PS5', 'PS5', 'PS4', 'PS5', 'PS5', 'PS4', 'PS4', 'PS4', 'PS4', 'PS4']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 30 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 30 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Mature Humor, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol']","['79%', '8%', '5%', '1%', '7%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)']",[]
The First Berserker: Khazan Standard Edition,NEXON,4.49,8115 ratings,$59.99,,,Demo,,3/27/2025,,"['PS5', 'STANDARD EDITION', 'PS5 Pro Enhanced']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood, Strong Language, Violence']","['79%', '8%', '3%', '2%', '7%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish (Mexico)']",[]
Minecraft,Mojang,4.3,1719984 ratings,Free,,Trial,Trial,,10/22/2024,,"['PS5', 'Standard Edition', 'PS5', 'PS4', 'PS4', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', '1 - 4 players', 'Remote Play supported', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', '1 - 4 players', 'Remote Play supported']","['Fantasy ViolenceIn-Game Purchases, Users Interact']","['72%', '9%', '7%', '1%', '11%']","['Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian']",[]
Genshin Impact,COGNOSPHERE PTE. LTD.,4.38,388591 ratings,Free,,,,,4/27/2021,,"['PS4', 'PS5']","['In-game purchases optional', 'Online play required', '4 online players', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '4 online players', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Alcohol Reference, Fantasy ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['75%', '9%', '5%', '1%', '10%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Portugal), Russian, Spanish, Thai, Turkish, Vietnamese']",[]
WWE 2K25 Standard Edition,2K,4.33,2529 ratings,$69.99,,,,,3/14/2025,,"['PS4', 'PS5', 'Standard Edition', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscriptionView All']","['Language, Mild Blood, Mild Suggestive Themes, Use of Alcohol, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['74%', '9%', '5%', '2%', '10%']","['English, French (France), Spanish']",[]
Split Fiction,Electronic Arts Inc,4.89,17631 ratings,$49.99,,,Save 10% with EA Play,,3/6/2025,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', '1 - 2 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', '1 - 2 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood and Gore, Crude Humor, Language, Violence']","['95%', '2%', '1%', '0%', '2%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Spanish']",[]
Apex Legends™ PS5,Electronic Arts Inc,4.09,807115 ratings,Free,,,,,2/8/2022,,"['PS5', 'PS5 Pro Enhanced', 'PS5', 'PS4']","['In-game purchases optional', 'Online play required', '60 online players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'In-game purchases optional', 'Online play required', '60 online players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced']","['Blood, ViolenceIn-Game Purchases (Includes Random Items)']","['64%', '12%', '9%', '2%', '14%']","['Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish']",[]
Monster Hunter Wilds,"Capcom U.S.A., Inc.",4.59,48840 ratings,$69.99,,,,,2/28/2025,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supportedView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supportedView All']","['Blood, Crude Humor, ViolenceIn-Game Purchases, Users Interact']","['84%', '6%', '3%', '2%', '6%']","['Arabic, English, French (France), German, Italian, Japanese, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)']",[]
Tom Clancy's Rainbow Six Siege Deluxe Edition,Ubisoft Entertainment,4.3,280226 ratings,$39.99,,,Save 60%Offer ends 4/10/2025 06:59 AM UTC,,3/12/2024,,"['PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)']","['Blood, Drug Reference, Strong Language, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['72%', '10%', '5%', '2%', '11%']","['Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish', 'Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Turkish']","['English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)', 'English, French (France), Portuguese (Brazil), Spanish, Spanish (Mexico)']"
Wuthering Waves,HK KURO GAMES LIMITED,4.36,15176 ratings,Free,,,,,1/1/2025,,['PS5'],"['In-game purchases optional', 'Online play required', '3 online players', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '3 online players', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['77%', '6%', '3%', '2%', '12%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Spanish']",[]
Atomfall PS4™ & PS5™,Rebellion,4.29,853 ratings,$59.99,,,,,3/27/2025,,"['PS4', 'PS5', 'Standard', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5']","['Offline play enabled', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Offline play enabled', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood, Language, ViolenceIn-Game Purchases']","['69%', '13%', '4%', '6%', '8%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish']",[]
Mortal Kombat™ 1,Warner Bros. Interactive,4.29,35534 ratings,$16.49,$49.99,Save 67%,Save 67%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,9/19/2023,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 2 players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 2 players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All']","['Blood and Gore, Intense Violence, Strong LanguageIn-Game Purchases, Users Interact']","['67%', '16%', '6%', '3%', '9%']","['English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)']",[]
Warframe®,Digital Extremes,4.35,679907 ratings,Free,,,,,11/26/2020,,"['PS5', 'Warframe (PS5)', 'PS5 Pro Enhanced', 'PS5', 'PS4']","['In-game purchases optional', 'Online play required', '8 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS4 VersionPS4 Pro EnhancedView All PS5 & PS4 Compatibility Notices', 'In-game purchases optional', 'Online play required', '8 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS4 VersionPS4 Pro EnhancedView All PS5 & PS4 Compatibility Notices']","['Blood and Gore, Language, ViolenceIn-Game Purchases, Users Interact']","['67%', '15%', '9%', '2%', '7%']","['English, French (France), German, Italian, Spanish']",[]
BLEACH Rebirth of Souls PS4 & PS5,Bandai Namco Entertainment America Inc.,4.56,2952 ratings,$59.99,,,,,3/21/2025,,"['PS4', 'PS5', 'Standard Edition', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS Plus required for online play', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported']","['Mild Blood, Mild Language, Suggestive Themes, ViolenceIn-Game Purchases']","['81%', '7%', '3%', '2%', '6%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
PGA TOUR 2K25,2K,3.22,2103 ratings,$69.99,,,Demo,,2/28/2025,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 - 4 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 - 4 players', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Alcohol Reference, Mild LanguageIn-Game Purchases, Users Interact']","['42%', '11%', '9%', '5%', '33%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish']",[]
