title,publisher,rating_from_5,rating_count,finalPrice,originalPrice,discountInfo,offer,discountDescriptor,release,genre,product_tag,noticesListItem3,discribtionTag,ratingProgresBar,subtitles,voices
ASTRO BOT,Sony Interactive Entertainment,4.85,47336 ratings,$59.99,,,,,9/6/2024,,"['PS5', 'Standard Edition']","['Online play optional', '1 player', '1 online player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'Online play optional', '1 player', '1 online player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Crude Humor, Fantasy Violence']","['94%', '2%', '2%', '0%', '2%']","['Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Romanian, Russian, Spanish, Spanish (Mexico), Swedish, Thai, Turkish, Ukrainian, Vietnamese']",[]
"Warhammer 40,000: Space Marine 2 - Ultra Edition",Focus Entertainment,4.43,20761 ratings,$71.49,$109.99,Save 35%,Save 35%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,9/9/2024,,"['PS5', 'Ultra Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense ViolenceUsers Interact']","['76%', '10%', '4%', '3%', '8%']","['Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish, Ukrainian']",[]
Sea of Thieves,Microsoft Corporation,4.24,16329 ratings,$23.99,$39.99,Save 40%,Save 40%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,4/30/2024,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 24 online players with PS Plus', 'PS5 VersionVibration function required', 'Trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 24 online players with PS Plus', 'PS5 VersionVibration function required', 'Trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Crude Humor, Use of Alcohol, ViolenceIn-Game Purchases, Users Interact']","['71%', '10%', '3%', '2%', '13%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish']",[]
The First Descendant,NEXON,4,49300 ratings,Free,,,,,6/30/2024,,"['PS4', 'PS5', 'The First Descendant', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '4 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '4 online players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood, Strong Language, Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['58%', '15%', '10%', '4%', '13%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish']",[]
Black Myth: Wukong,"Game Science Interactive Technology Co., Ltd.",4.5,180411 ratings,$59.99,,,Subscribe to PlayStation Plus Premium to play a 2-hour full game trial,,8/20/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Language, Partial Nudity, Violence']","['82%', '5%', '3%', '1%', '9%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Thai, Turkish']",[]
theHunter: Call of the Wild™,Avalanche Studios Group AB,4.38,28024 ratings,$8.99,$29.99,Save 70%,Save 70%Offer ends 4/24/2025 06:59 AM UTC,Offer ends 4/24/2025 06:59 AM UTC,10/2/2017,,['PS4'],"['PS Plus required for online play', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 player', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration', 'PS Plus required for online play', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 player', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration']","['Blood, Game Experience May Change During Online Play, Violence']","['73%', '11%', '5%', '2%', '9%']","['Chinese (Simplified), English, French (France), Japanese, Spanish']",[]
Phasmophobia,Kinetic Games Limited,4.68,17147 ratings,$19.99,,,,,10/29/2024,,['PS5'],"['PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionPS VR2 Sense controllers required', 'VR play styles: sitting, standing, roomscale', 'PlayStation\xa0VR2 optional', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionPS VR2 Sense controllers required', 'VR play styles: sitting, standing, roomscale', 'PlayStation\xa0VR2 optional', 'PS5 game streaming supported only with Premium subscriptionView All']","['Blood, Use of Drugs, ViolenceUsers Interact']","['86%', '7%', '2%', '1%', '5%']","['English, French (France), German, Italian, Japanese, Portuguese (Brazil), Spanish']",[]
Diablo® IV - Expansion Bundle,"Blizzard Entertainment, Inc.",4.04,8980 ratings,$41.99,$69.99,Save 40%,Save 40%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,6/9/2024,,"['PS4', 'PS5', 'D4 + VOH BUNDLE', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'Online play required', 'Supports up to 4 online players with PS Plus', '1 - 2 players', 'PS5 VersionPS5 Pro Enhanced', 'PS Plus required for online play', 'Online play required', 'Supports up to 4 online players with PS Plus', '1 - 2 players', 'PS5 VersionPS5 Pro Enhanced']","['Blood and Gore, Intense Violence, LanguageIn-Game Purchases']","['66%', '9%', '6%', '3%', '17%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish']",[]
The Last of Us™ Part II Remastered,Sony Interactive Entertainment,4.49,217239 ratings,$49.99,,,Subscribe to PlayStation Plus Premium to play a 2-hour full game trial,,1/19/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS5', 'PS4', 'PS4']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Drugs']","['81%', '5%', '3%', '2%', '8%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
DRAGON BALL: Sparking! ZERO,Bandai Namco Entertainment America Inc.,4.63,49830 ratings,$69.99,,,,,10/10/2024,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)']","['Mild Language, Mild Suggestive Themes, ViolenceIn-Game Purchases']","['85%', '6%', '2%', '1%', '6%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']",[]
It Takes Two PS4™ & PS5™,Electronic Arts Inc,4.5,104122 ratings,$39.99,,,Included with EA Play,,3/26/2021,,"['PS4', 'PS5', 'PS4', 'PS5', 'PS5', 'PS4', 'PS5', 'PS4']","['PS Plus required for online play', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS Plus required for online play', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported']","['Animated Blood, Comic Mischief, Fantasy Violence, LanguageUsers Interact']","['78%', '8%', '6%', '1%', '7%']","['English, French (France), German, Italian, Spanish', 'Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish']","['English', 'English']"
Honkai: Star Rail,COGNOSPHERE PTE. LTD.,4.52,31075 ratings,Free,,,,,10/10/2023,,['PS5'],"['In-game purchases optional', 'Online play required', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Fantasy Violence, Mild Suggestive Themes, Simulated GamblingIn-Game Purchases (Includes Random Items)']","['80%', '8%', '3%', '1%', '8%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Portuguese (Brazil), Russian, Spanish (Mexico), Thai, Vietnamese']",[]
Rust Console Edition,Double Eleven,3.73,26749 ratings,$49.99,,,,,5/21/2021,,"['PS4', 'Standard']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 99 online players with PS Plus', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 99 online players with PS Plus', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration']","['Blood, ViolenceIn-Game Purchases, Users Interact']","['59%', '8%', '5%', '4%', '25%']","['English, Portuguese (Brazil)']",[]
UFC® 5,Electronic Arts Inc,3.14,20651 ratings,$69.99,,,Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalog,,10/26/2023,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All']","['Blood, Strong Language, ViolenceIn-Game Purchases, Users Interact']","['36%', '13%', '10%', '7%', '33%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish, Spanish (Mexico)']",[]
Undisputed WBC Edition,Deep Silver,2.67,11778 ratings,$79.99,,,Save 25%Offer ends 4/10/2025 06:59 AM UTC,,10/8/2024,,"['PS5', 'Deluxe WBC Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscriptionView All']","['Blood, Lyrics, ViolenceIn-Game Purchases']","['24%', '11%', '12%', '12%', '40%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Polish, Russian, Spanish, Spanish (Mexico)']",[]
Resident Evil 4,"Capcom U.S.A., Inc.",4.75,92810 ratings,$19.99,$39.99,Save 50%,Save 50%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,3/24/2023,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['Offline play enabled', '1 player', 'PS5 VersionVR play styles: sitting, standing', 'PlayStation\xa0VR2 optional', 'PlayStation\xa0VR2 headset vibration optional', 'PS VR2 Sense controllers optional', 'PS VR2 Sense controller vibration optional', 'PS VR2 Sense controller trigger effect optionalView All', 'Offline play enabled', '1 player', 'PS5 VersionVR play styles: sitting, standing', 'PlayStation\xa0VR2 optional', 'PlayStation\xa0VR2 headset vibration optional', 'PS VR2 Sense controllers optional', 'PS VR2 Sense controller vibration optional', 'PS VR2 Sense controller trigger effect optionalView All']","['Blood and Gore, Intense Violence, Strong LanguageIn-Game Purchases']","['87%', '6%', '4%', '1%', '2%']","['Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)']",[]
Deadside,tinyBuild GAMES,3.9,1921 ratings,$19.99,$24.99,Save 20%,Save 20%Offer ends 4/24/2025 06:59 AM UTC,Offer ends 4/24/2025 06:59 AM UTC,2/25/2025,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 70 online players with PS Plus', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 70 online players with PS Plus', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Blood, Language, Tobacco Reference, Use of Alcohol, ViolenceIn-Game Purchases, Users Interact']","['57%', '15%', '7%', '4%', '17%']","['Chinese (Simplified), English, French (France), German, Russian, Spanish (Mexico)']",[]
NHL® 25 PS5,Electronic Arts Inc,3.1,2023 ratings,$69.99,,,Subscribe to EA Play to get a 10-hour game trial,,9/27/2024,,"['PS5', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 12 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported']","['Mild ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['40%', '9%', '8%', '7%', '36%']","['Czech, English, Finnish, French (France), German, Swedish']",[]
Yu-Gi-Oh! MASTER DUEL,"Konami Digital Entertainment, Inc.",4.02,20525 ratings,Free,,,,,1/19/2022,,"['PS5', 'PS5', 'PS4']","['In-game purchases optional', 'Online play required', '2 online players', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '2 online players', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Fantasy Violence, Mild Blood, Partial NudityIn-Game Purchases (Includes Random Items), Users Interact']","['62%', '12%', '8%', '3%', '15%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish (Mexico)']",[]
Assassin's Creed Valhalla,Ubisoft Entertainment,4.11,68830 ratings,$14.99,$59.99,Save 75%,Save 75%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,11/12/2020,,"['PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['In-game purchases optional', 'Online play optional', '1 player', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play optional', '1 player', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs and AlcoholIn-Game Purchases, Users Interact']","['62%', '14%', '8%', '4%', '11%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)', 'English, French (France), Portuguese (Brazil), Spanish, Spanish (Mexico)']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)', 'English, French (France), Portuguese (Brazil), Spanish']"
Call of Duty®: Black Ops III - Zombies Chronicles Edition,Activision,4.44,373769 ratings,$59.99,,,,,8/29/2017,,['PS4'],"['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 18 online players with PS Plus', 'Online play optional', '1 - 4 players', 'PS4 VersionDUALSHOCK\xa04 vibration', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 18 online players with PS Plus', 'Online play optional', '1 - 4 players', 'PS4 VersionDUALSHOCK\xa04 vibration']","['Blood and Gore, Drug Reference, Game Experience May Change During Online Play, Intense Violence, Strong Language']","['76%', '10%', '5%', '2%', '8%']",[],[]
THRONE AND LIBERTY,Amazon Games,3.53,13869 ratings,Free,,,,,10/1/2024,,['PS5'],"['In-game purchases optional', 'Online play required', '99 online players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '99 online players', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Blood, Mild Suggestive Themes, ViolenceIn-Game Purchases, Users Interact']","['47%', '14%', '9%', '6%', '24%']","['English, French (France), German, Japanese, Portuguese (Brazil), Spanish, Spanish (Mexico)']",[]
Star Wars Outlaws,Ubisoft Entertainment,3.85,15187 ratings,$34.99,$69.99,Save 50%,Save 50%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,8/30/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['In-game purchases optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'In-game purchases optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Mild Language, Simulated Gambling, ViolenceIn-Game Purchases, Users Interact']","['50%', '20%', '9%', '7%', '14%']","['English, French (France), Portuguese (Brazil), Spanish']",[]
Assassin's Creed® Mirage,Ubisoft Entertainment,3.89,28089 ratings,$19.99,$49.99,Save 60%,Save 60%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,10/5/2023,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5']","['In-game purchases optional', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'In-game purchases optional', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Blood and Gore, Drug Reference, Intense Violence, Strong LanguageIn-Game Purchases, Users Interact']","['48%', '21%', '13%', '7%', '10%']","['English, French (France), Portuguese (Brazil), Spanish, Spanish (Mexico)']",[]
MY HERO ULTRA RUMBLE,Bandai Namco Entertainment America Inc.,4.21,40368 ratings,Free,,,,,9/28/2023,,"['PS4', 'Standard Edition']","['In-game purchases optional', 'Online play required', '24 online players', 'In-game purchases optional', 'Online play required', '24 online players']","['Mild Language, Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['68%', '10%', '7%', '2%', '12%']","['English, French (France)']",[]
God of War Ragnarök,Sony Interactive Entertainment,4.81,135654 ratings,$69.99,,,Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalog,,11/9/2022,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS4', 'PS5']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Strong Language']","['91%', '4%', '2%', '1%', '2%']","['Arabic, Chinese (Simplified), Chinese (Traditional), Croatian, Czech, Dutch, English, French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish (Mexico), Thai, Turkish']",[]
