title,publisher,rating_from_5,rating_count,finalPrice,originalPrice,discountInfo,offer,discountDescriptor,release,genre,product_tag,noticesListItem3,discribtionTag,ratingProgresBar,subtitles,voices
No Man's Sky PS4 & PS5,Hello Games LTD,3.93,100106 ratings,$23.99,$59.99,Save 60%,Save 60%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,11/12/2020,,"['PS4', 'PS5', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVR play style: sitting', 'Vibration function and trigger effect required', 'PlayStation\xa0VR2 optional', 'PlayStation\xa0VR2 headset vibration optionalView All', 'PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVR play style: sitting', 'Vibration function and trigger effect required', 'PlayStation\xa0VR2 optional', 'PlayStation\xa0VR2 headset vibration optionalView All']","['Animated Blood, Fantasy ViolenceUsers Interact']","['58%', '14%', '6%', '5%', '16%']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)', 'English, French (France), Portuguese (Brazil), Spanish (Mexico)']","['English, French (France), Portuguese (Brazil), Spanish (Mexico)']"
Arma Reforger,Bohemia Interactive a.s.,3.83,9882 ratings,$39.99,,,,,12/12/2024,,"['PS5', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Supports up to 64 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'Supports up to 64 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All']","['Blood, Intense ViolenceIn-Game Purchases, Users Interact']","['59%', '11%', '5%', '4%', '21%']","['Chinese (Simplified), Czech, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Ukrainian']",[]
Stellar Blade™,Sony Interactive Entertainment,4.83,73467 ratings,$49.69,$69.99,Save 29%,Save 29%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,4/26/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Language, Suggestive Themes, ViolenceIn-Game Purchases']","['92%', '4%', '1%', '1%', '2%']","['Arabic, Chinese (Simplified), Chinese (Traditional), Danish, Dutch, English, Finnish, French (France), German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Swedish, Thai, Turkish']",[]
SILENT HILL 2,"Konami Digital Entertainment, Inc.",4.86,27787 ratings,$69.99,,,Save 35%Offer ends 4/10/2025 06:59 AM UTC,,10/8/2024,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Language, Sexual Themes, Violence']","['93%', '4%', '1%', '1%', '2%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Ukrainian']",[]
F1® 25 Iconic Edition,Electronic Arts Inc,,,$89.99,,,Save 10% with EA Play,,5/27/2025,,"['PS5', 'Iconic Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Online play required', 'Supports up to 22 online players with PS Plus', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS Plus required for online play', 'Online play required', 'Supports up to 22 online players with PS Plus', '1 - 2 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro Enhanced']","['Mild Language, Use of Alcohol']",[],[],[]
NARUTO TO BORUTO: SHINOBI STRIKER,Bandai Namco Entertainment America Inc.,4.03,104051 ratings,$19.99,,,Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalog,,8/31/2018,,"['PS4', 'Standard Edition']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration']","['Cartoon Violence, Mild LanguageIn-Game Purchases, Users Interact']","['64%', '10%', '7%', '2%', '17%']",[],[]
MLB® The Show™ 24 PS5®,Sony Interactive Entertainment,3.54,9917 ratings,$29.99,,,,,3/19/2024,,"['PS4', 'PS5', 'Standard Edition', 'PS4', 'PS5', 'PS4', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS4 VersionDUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 8 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS4 VersionDUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices']","['No DescriptorsIn-Game Purchases (Includes Random Items), Users Interact']","['48%', '13%', '9%', '4%', '25%']",['English'],[]
Assassin's Creed® Odyssey,Ubisoft Entertainment,4.53,81861 ratings,$11.99,$59.99,Save 80%,Save 80%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,10/5/2018,,['PS4'],"['1 player', 'PS4 VersionDUALSHOCK\xa04 vibration', '1 player', 'PS4 VersionDUALSHOCK\xa04 vibration']","['Blood and Gore, Intense Violence, Sexual Themes, Strong LanguageIn-Game Purchases']","['77%', '12%', '4%', '2%', '5%']","['English, French (France), Portuguese (Brazil), Spanish']",[]
Avatar: Frontiers of Pandora™,Ubisoft Entertainment,3.92,12904 ratings,$23.09,$69.99,Save 67%,Save 67%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,12/7/2023,,"['PS5', 'Standard Edition', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro EnhancedView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 2 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 Pro EnhancedView All']","['Language, Mild Blood, ViolenceIn-Game Purchases, Users Interact']","['54%', '16%', '10%', '6%', '13%']","['English, French (France), Portuguese (Brazil), Spanish']",[]
AI LIMIT,CE-ASIA HONG KONG LIMITED,3.93,3540 ratings,$34.99,,,,,3/27/2025,,"['PS5', 'Standard Edition']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)']","['Blood, Violence']","['55%', '15%', '10%', '7%', '13%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Portuguese (Brazil), Spanish']",[]
THE FINALS,Embark Studios AB,4.15,42044 ratings,Free,,,,,12/8/2023,,"['PS5', 'PS5 Pro Enhanced', 'PS5', 'PS4']","['In-game purchases optional', 'Online play required', '24 online players', 'Remote Play supported', 'PS5 VersionVibration function required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '24 online players', 'Remote Play supported', 'PS5 VersionVibration function required', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['ViolenceIn-Game Purchases, Users Interact']","['65%', '13%', '6%', '3%', '13%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Polish, Portuguese (Brazil), Spanish, Turkish']",[]
Palworld,Pocketpair,4.7,14002 ratings,$29.99,,,,,9/24/2024,,"['PS5', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Mild Language, ViolenceUsers Interact']","['85%', '8%', '2%', '1%', '3%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish']",[]
WORLD OF WARSHIPS: LEGENDS,Wargaming Group Ltd,4.1,115010 ratings,Free,,,,,4/26/2021,,"['PS5', 'PS5 Pro Enhanced', 'PS5', 'PS4']","['In-game purchases optional', 'Online play required', '18 online players', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '18 online players', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Suggestive Themes, ViolenceIn-Game Purchases, Users Interact']","['60%', '15%', '13%', '2%', '11%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Portuguese (Brazil), Russian, Spanish (Mexico)']",[]
DayZ,BOHEMIA INTERACTIVE A.S.,3.69,32796 ratings,$27.49,$54.99,Save 50%,Save 50%Offer ends 4/24/2025 06:59 AM UTC,Offer ends 4/24/2025 06:59 AM UTC,5/30/2019,,['PS4'],"['PS Plus required for online play', 'Online play required', 'Supports up to 60 online players with PS Plus', 'Remote Play supported', 'PS Plus required for online play', 'Online play required', 'Supports up to 60 online players with PS Plus', 'Remote Play supported']","['Blood, Strong Language, ViolenceUsers Interact']","['54%', '13%', '6%', '4%', '24%']","['English, French (France), Spanish']",[]
NBA 2K24 Kobe Bryant Edition for PS5™,2K,3.04,50329 ratings,$69.99,,,,,9/8/2023,,"['PS5', 'Kobe Bryant Edition', 'PS5', 'PS4', 'PS4', 'PS5', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect required', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 10 online players with PS Plus', 'Online play optional', '1 - 4 players', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect required']","['In-Game Purchases (Includes Random Items), Users Interact']","['35%', '11%', '11%', '7%', '35%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish']",[]
Farming Simulator 25,GIANTS Software,3.29,8200 ratings,$59.99,,,,,11/12/2024,,"['PS5', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All', 'PS Plus required for online play', 'In-game purchases optional', 'Supports up to 6 online players with PS Plus', 'Online play optional', '1 player', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscriptionView All']","['In-Game Purchases, Users Interact']","['42%', '11%', '9%', '9%', '29%']","['Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Romanian, Russian, Slovak, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian, Vietnamese']",[]
Grounded PS4® & PS5®,Microsoft Corporation,4.58,5375 ratings,$19.99,$39.99,Save 50%,Save 50%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,4/16/2024,,"['PS4', 'PS5']","['PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Blood, Mild Language, ViolenceUsers Interact']","['81%', '9%', '3%', '1%', '6%']","['Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish', 'Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish']","['English', 'English, Japanese']"
FOR HONOR,Ubisoft Entertainment,4.05,76913 ratings,$29.99,,,Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalog,,3/14/2024,,['PS4'],"['Online play required', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration', 'Online play required', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration']","['Blood and Gore, Game Experience May Change During Online Play, Intense Violence']","['63%', '13%', '6%', '3%', '15%']",[],[]
Red Dead Redemption,Rockstar Games,4.77,14224 ratings,$29.99,$49.99,Save 40%,Save 40%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,8/17/2023,,"['PS4', 'Standard Edition']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS4 VersionPS4 Pro Enhanced', 'DUALSHOCK\xa04 vibration']","['Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs']","['87%', '8%', '2%', '1%', '2%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico)']",[]
DC Universe Online Free to Play,Daybreak Games,4.13,353413 ratings,Free,,,,,3/26/2024,,"['PS5', 'PS5', 'PS4', 'PS4']","['In-game purchases optional', 'Online play required', '99 online players', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '99 online players', 'Remote Play supported', 'PS5 VersionPS5 game streaming supported only with Premium subscription']","['Game Experience May Change During Online Play, Mild Blood, Mild Language, Mild Suggestive Themes, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['61%', '14%', '11%', '2%', '11%']","['English, French (Canada), Spanish (Mexico)']",[]
Hell Let Loose,Team17 Software Ltd.,4.07,9940 ratings,$24.99,$49.99,Save 50%,Save 50%Offer ends 4/24/2025 06:59 AM UTC,Offer ends 4/24/2025 06:59 AM UTC,10/5/2021,,['PS5'],"['PS Plus required for online play', 'Online play required', 'Supports up to 99 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'Online play required', 'Supports up to 99 online players with PS Plus', 'Remote Play supported', 'PS5 VersionVibration function and trigger effect supported (DualSense wireless controller)', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, ViolenceUsers Interact']","['63%', '14%', '4%', '3%', '15%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Korean, Polish, Russian, Spanish']",[]
Path of Exile 2 Founder's Pack - Path of Exile 2 Early Access,GRINDING GEAR GAMES LIMITED,4.26,6250 ratings,$29.99,,,,,12/5/2024,,"['PS5', 'PS5 Pro Enhanced']","['In-game purchases optional', 'Online play required', '6 online players', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'In-game purchases optional', 'Online play required', '6 online players', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Nudity, ViolenceIn-Game Purchases (Includes Random Items), Users Interact']","['76%', '5%', '3%', '3%', '14%']","['English, French (France), German, Korean, Portuguese (Brazil), Russian, Spanish, Thai']",[]
Need for Speed™ Unbound Ultimate Collection,Electronic Arts Inc,3.07,23454 ratings,$16.99,$84.99,Save 80%,Save 80%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,10/25/2024,,"['PS5', 'Ultimate Collection']","['PS Plus required for online play', 'Supports up to 16 online players with PS Plus', 'Online play optional', '1 player', 'PS Plus required for online play', 'Supports up to 16 online players with PS Plus', 'Online play optional', '1 player']","['Language, Mild Suggestive Themes, Mild ViolenceIn-Game Purchases, Users Interact']","['32%', '15%', '13%', '10%', '31%']","['Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Spanish']",[]
Ghost of Tsushima DIRECTOR’S CUT,Sony Interactive Entertainment,4.6,233220 ratings,$69.99,,,Trial,,8/20/2021,,"['PS4', 'PS5', 'PS5', 'PS4', 'PS5', 'PS4', 'PS5', 'PS4', 'PS4', 'PS4']","['PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect required', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription', 'PS Plus required for online play', 'Supports up to 4 online players with PS Plus', 'Online play optional', '1 player', 'PS5 VersionVibration function and trigger effect required', 'Game Help supported', 'PS5 game streaming supported only with Premium subscription']","['Blood and Gore, Intense Violence, Language, Partial NudityUsers Interact']","['84%', '6%', '2%', '1%', '7%']","['English, French (France), Japanese, Portuguese (Brazil), Spanish (Mexico)']",[]
Lies of P,NEOWIZ,4.68,21234 ratings,$35.99,$59.99,Save 40%,Save 40%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,9/19/2023,,"['PS4', 'PS5', 'Standard Edition', 'PS5 Pro Enhanced', 'PS4', 'PS5', 'PS4', 'PS5']","['Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'Offline play enabled', '1 player', 'Remote Play supported', 'PS5 VersionVibration function supported (DualSense wireless controller)', 'PS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription']","['Blood, Violence']","['84%', '9%', '2%', '1%', '4%']","['Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish']",[]
Hunt: Showdown 1896,Crytek,4.21,11190 ratings,$29.99,,,Save 50%Offer ends 4/10/2025 06:59 AM UTC,,8/15/2024,,"['PS5', 'PS5 Pro Enhanced']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 12 online players with PS Plus', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS4 VersionDUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 12 online players with PS Plus', 'Remote Play supported', 'PS5 VersionPS5 Pro Enhanced', 'PS5 game streaming supported only with Premium subscription', 'PS4 VersionDUALSHOCK\xa04 vibrationView All PS5 & PS4 Compatibility Notices']","['Blood and Gore, ViolenceIn-Game Purchases, Users Interact']","['70%', '11%', '3%', '2%', '14%']","['English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish, Turkish']",[]
Brawlhalla,Blue Mammoth Games,4.03,279424 ratings,Free,,,,,10/17/2017,,['PS4'],"['Online play optional', '1 - 4 players', '8 online players', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration', 'Online play optional', '1 - 4 players', '8 online players', 'Remote Play supported', 'PS4 VersionDUALSHOCK\xa04 vibration']",['Fantasy Violence'],"['60%', '13%', '10%', '2%', '14%']",[],[]
Battlefield™ 2042 PS5,Electronic Arts Inc,3.19,48884 ratings,$6.99,$69.99,Save 90%,Save 90%Offer ends 4/10/2025 06:59 AM UTC,Offer ends 4/10/2025 06:59 AM UTC,11/19/2021,,"['PS4', 'PS5', 'Standard Edition', 'PS4', 'PS5', 'PS4', 'PS4', 'PS5']","['PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 99 online players with PS Plus', 'PS5 VersionGame Help supported', 'PS Plus required for online play', 'In-game purchases optional', 'Online play required', 'Supports up to 99 online players with PS Plus', 'PS5 VersionGame Help supported']","['Blood, Strong Language, ViolenceIn-Game Purchases, Users Interact']","['40%', '11%', '9%', '7%', '33%']","['Chinese (Simplified), Chinese (Traditional), English, French (Canada), French (France), Japanese, Korean, Portuguese (Brazil), Spanish, Spanish (Mexico)', 'Chinese (Simplified), Chinese (Traditional), English, French (France), Korean, Portuguese (Brazil), Spanish, Spanish (Mexico)']","['Chinese, English, French (France), Japanese, Portuguese (Brazil), Spanish, Spanish (Mexico)', 'Chinese, English, French (France), Japanese, Portuguese (Brazil), Spanish, Spanish (Mexico)']"